Date,Crude Oil,Brent Crude,Unleaded Gasoline,Heating Oil,Gas Oil,Natural Gas
6/6/02,-0.0040,-0.0010,0.0075,-0.0019,-0.0220,-0.0243
7/6/02,0.0005,-0.0039,-0.0070,-0.0013,0.0086,0.0109
10/6/02,-0.0165,-0.0161,-0.0160,-0.0110,0.0011,-0.0171
11/6/02,-0.0038,-0.0119,-0.0065,-0.0047,-0.0118,0.0028
12/6/02,0.0211,0.0143,0.0258,0.0231,0.0318,-0.0192
13/6/02,0.0413,0.0356,0.0361,0.0440,0.0350,0.0530
14/6/02,0.0104,0.0132,0.0101,0.0055,0.0025,0.0383
17/6/02,0.0076,0.0047,0.0053,0.0016,0.0182,0.0113
18/6/02,-0.0265,-0.0188,-0.0196,-0.0152,-0.0219,-0.0181
19/6/02,-0.0027,-0.0090,-0.0099,-0.0057,0.0122,0.0006
20/6/02,0.0143,0.0189,0.0031,0.0119,-0.0208,-0.0333
21/6/02,-0.0050,-0.0118,-0.0152,-0.0158,-0.0112,0.0055
24/6/02,0.0248,0.0193,0.0281,0.0264,0.0321,0.0549
25/6/02,-0.0057,-0.0047,-0.0054,-0.0070,0.0085,0.0043
26/6/02,0.0166,0.0005,0.0120,0.0099,-0.0182,-0.0415
27/6/02,0.0037,0.0088,0.0078,0.0034,0.0218,-0.0355
28/6/02,0.0000,-0.0009,-0.0105,0.0041,-0.0024,0.0028
1/7/02,-0.0018,0.0028,0.0070,-0.0001,0.0084,-0.0165
2/7/02,-0.0015,0.0028,-0.0026,0.0101,0.0048,-0.0148
3/7/02,0.0011,-0.0032,-0.0048,0.0008,0.0012,-0.0010
4/7/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5/7/02,0.0000,-0.0042,0.0000,0.0000,-0.0083,0.0000
8/7/02,-0.0275,-0.0187,-0.0331,-0.0266,-0.0130,-0.0639
9/7/02,0.0008,0.0019,0.0076,0.0059,-0.0046,0.0197
10/7/02,0.0253,0.0284,0.0216,0.0255,0.0347,-0.0405
11/7/02,0.0028,-0.0023,0.0032,0.0065,0.0056,-0.0089
12/7/02,0.0218,0.0160,0.0253,0.0239,0.0102,-0.0110
15/7/02,-0.0143,-0.0141,-0.0200,-0.0136,0.0081,-0.0017
16/7/02,0.0262,0.0213,0.0338,0.0213,-0.0058,0.0235
17/7/02,0.0090,0.0045,0.0008,-0.0031,-0.0011,-0.0105
18/7/02,-0.0126,-0.0063,-0.0134,-0.0095,0.0058,0.0303
19/7/02,0.0065,0.0045,0.0029,-0.0003,-0.0151,-0.0020
22/7/02,-0.0418,-0.0361,-0.0356,-0.0416,-0.0296,0.0041
23/7/02,-0.0147,-0.0140,-0.0193,-0.0174,0.0084,-0.0208
24/7/02,0.0211,0.0140,0.0228,0.0231,-0.0060,0.0489
25/7/02,-0.0037,-0.0056,-0.0014,0.0000,-0.0024,-0.0513
26/7/02,-0.0086,-0.0080,-0.0054,-0.0085,-0.0036,0.0010
29/7/02,0.0003,0.0009,-0.0012,-0.0041,0.0048,0.0048
30/7/02,0.0301,0.0228,0.0281,0.0326,0.0319,-0.0048
31/7/02,-0.0125,-0.0106,-0.0125,-0.0163,-0.0058,0.0216
1/8/02,-0.0206,-0.0159,-0.0350,-0.0210,-0.0189,-0.0387
2/8/02,0.0139,0.0094,0.0164,0.0068,-0.0120,0.0056
5/8/02,-0.0097,-0.0094,-0.0086,-0.0152,-0.0024,-0.0650
6/8/02,0.0219,0.0201,0.0084,0.0170,0.0180,0.0141
7/8/02,-0.0283,-0.0187,-0.0343,-0.0142,-0.0069,-0.0175
8/8/02,0.0030,0.0042,-0.0052,0.0121,-0.0005,0.0338
9/8/02,0.0029,0.0056,-0.0051,0.0024,0.0098,0.0095
12/8/02,0.0270,0.0203,0.0192,0.0363,-0.0061,0.0716
13/8/02,-0.0038,-0.0023,-0.0090,0.0018,0.0226,0.0081
14/8/02,0.0117,0.0059,0.0020,0.0068,0.0139,-0.0211
15/8/02,0.0311,0.0319,0.0274,0.0365,0.0227,0.0709
16/8/02,0.0046,0.0009,0.0002,0.0071,0.0156,0.0112
19/8/02,0.0101,0.0092,0.0037,0.0023,0.0022,0.0364
20/8/02,-0.0010,-0.0013,0.0074,0.0066,0.0022,-0.0308
21/8/02,0.0162,0.0105,0.0078,0.0197,0.0250,0.0344
22/8/02,-0.0138,-0.0065,-0.0107,-0.0076,-0.0119,0.0728
23/8/02,-0.0073,-0.0022,-0.0050,-0.0095,0.0011,-0.0134
26/8/02,0.0224,0.0000,0.0288,0.0190,0.0000,0.0368
27/8/02,-0.0154,0.0126,-0.0111,-0.0054,0.0108,-0.0403
28/8/02,-0.0172,-0.0078,-0.0163,-0.0082,-0.0054,-0.0369
29/8/02,0.0203,0.0177,0.0100,0.0145,-0.0054,-0.0460
30/8/02,0.0021,-0.0013,0.0062,-0.0013,0.0129,0.0140
2/9/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3/9/02,-0.0419,-0.0309,-0.0548,-0.0475,-0.0327,-0.0510
4/9/02,0.0171,0.0179,0.0225,0.0300,0.0219,0.0193
5/9/02,0.0248,0.0240,0.0187,0.0299,0.0172,0.0456
6/9/02,0.0215,0.0214,0.0124,0.0139,0.0335,-0.0233
9/9/02,0.0046,0.0033,0.0042,0.0056,-0.0116,0.0603
10/9/02,0.0016,0.0045,0.0095,0.0096,0.0139,0.0113
11/9/02,0.0018,-0.0037,0.0053,-0.0008,-0.0056,-0.0058
12/9/02,-0.0290,-0.0272,-0.0283,-0.0263,-0.0266,0.0434
13/9/02,0.0337,0.0297,0.0279,0.0285,0.0196,0.0536
16/9/02,-0.0030,-0.0025,-0.0128,-0.0050,0.0010,0.0062
17/9/02,-0.0196,-0.0192,-0.0210,-0.0145,-0.0263,0.0283
18/9/02,0.0119,0.0113,0.0198,0.0198,0.0243,0.0231
19/9/02,0.0023,-0.0004,0.0030,-0.0010,-0.0021,0.0088
20/9/02,0.0034,0.0037,0.0075,-0.0011,0.0104,-0.0282
23/9/02,0.0287,0.0233,0.0238,0.0232,0.0194,0.0448
24/9/02,0.0020,-0.0037,-0.0070,0.0024,0.0010,-0.0607
25/9/02,-0.0042,-0.0024,-0.0067,0.0000,-0.0081,-0.0352
26/9/02,-0.0075,-0.0029,-0.0036,-0.0025,-0.0051,0.0250
27/9/02,0.0043,0.0004,0.0057,-0.0009,0.0030,0.0383
30/9/02,-0.0029,-0.0041,-0.0035,-0.0069,0.0051,0.0237
1/10/02,0.0124,0.0086,0.0266,0.0157,0.0132,-0.0173
2/10/02,-0.0111,-0.0057,-0.0026,-0.0085,-0.0070,0.0226
3/10/02,-0.0243,-0.0177,-0.0276,-0.0239,-0.0215,-0.1107
4/10/02,-0.0047,-0.0063,-0.0066,-0.0031,-0.0010,0.0040
7/10/02,0.0007,0.0021,0.0060,0.0017,-0.0079,0.0136
8/10/02,-0.0050,-0.0084,0.0155,0.0001,-0.0075,0.0452
9/10/02,-0.0028,-0.0046,-0.0103,0.0061,0.0036,0.0242
10/10/02,-0.0124,-0.0128,-0.0244,-0.0112,-0.0177,-0.0130
11/10/02,0.0130,0.0060,0.0079,0.0097,0.0140,0.0783
14/10/02,0.0182,0.0140,0.0217,0.0221,0.0218,0.0307
15/10/02,-0.0071,-0.0034,-0.0110,-0.0110,-0.0093,-0.0070
16/10/02,-0.0091,-0.0097,-0.0037,-0.0002,0.0052,-0.0040
17/10/02,0.0051,0.0038,0.0008,0.0092,-0.0125,0.0190
18/10/02,-0.0014,-0.0021,0.0045,-0.0054,0.0031,-0.0100
21/10/02,-0.0435,-0.0439,-0.0532,-0.0488,-0.0415,-0.0190
22/10/02,-0.0096,-0.0071,-0.0136,-0.0068,-0.0153,-0.0145
23/10/02,0.0039,0.0031,0.0106,-0.0002,0.0011,0.0285
24/10/02,0.0007,0.0000,0.0114,0.0033,0.0066,-0.0320
25/10/02,-0.0416,-0.0386,-0.0100,-0.0429,-0.0232,-0.0264
28/10/02,0.0089,0.0092,-0.0105,0.0046,-0.0169,0.0331
29/10/02,-0.0159,-0.0148,-0.0176,-0.0183,-0.0023,-0.0159
30/10/02,-0.0018,0.0009,-0.0017,0.0131,-0.0115,0.0296
31/10/02,0.0151,0.0162,0.0228,0.0193,0.0239,-0.0546
1/11/02,-0.0033,-0.0106,0.0130,-0.0098,-0.0011,-0.0234
4/11/02,-0.0067,-0.0178,0.0127,-0.0113,-0.0137,-0.0497
5/11/02,-0.0305,-0.0350,-0.0443,-0.0211,-0.0255,0.0052
6/11/02,-0.0142,-0.0143,-0.0314,-0.0142,-0.0238,-0.0075
7/11/02,-0.0188,-0.0160,-0.0295,-0.0157,0.0057,0.0013
8/11/02,0.0088,0.0040,0.0078,-0.0085,-0.0142,0.0245
11/11/02,0.0026,0.0070,-0.0071,0.0008,0.0072,-0.0249
12/11/02,-0.0063,0.0015,-0.0123,0.0036,-0.0036,0.0281
13/11/02,-0.0377,-0.0313,-0.0297,-0.0239,-0.0444,0.0037
14/11/02,0.0004,0.0066,0.0051,0.0053,0.0175,0.0005
15/11/02,0.0090,0.0142,0.0056,0.0158,0.0074,0.0270
18/11/02,0.0431,0.0418,0.0343,0.0472,0.0375,0.0623
19/11/02,-0.0117,-0.0077,-0.0122,-0.0036,0.0281,-0.0009
20/11/02,0.0228,0.0197,0.0185,0.0258,0.0000,0.0000
21/11/02,0.0100,0.0052,0.0119,0.0056,0.0137,0.0198
22/11/02,0.0154,0.0164,0.0268,0.0226,0.0102,-0.0186
25/11/02,-0.0246,-0.0183,-0.0346,-0.0235,0.0056,-0.0078
26/11/02,0.0110,0.0038,0.0118,0.0096,-0.0124,-0.0204
27/11/02,0.0184,0.0131,0.0107,0.0098,0.0180,-0.0085
28/11/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29/11/02,0.0000,-0.0084,0.0000,0.0000,-0.0078,0.0000
2/12/02,0.0129,0.0163,0.0287,0.0184,0.0178,0.0282
3/12/02,0.0022,0.0088,0.0124,0.0014,-0.0033,-0.0220
4/12/02,-0.0218,-0.0256,-0.0323,-0.0389,-0.0156,0.0169
5/12/02,0.0215,0.0214,0.0316,0.0144,0.0067,0.0248
6/12/02,-0.0136,-0.0139,-0.0163,-0.0116,-0.0087,-0.0067
9/12/02,0.0100,0.0079,0.0274,0.0141,0.0105,-0.0065
10/12/02,0.0206,0.0229,0.0298,0.0172,0.0027,0.0586
11/12/02,-0.0124,-0.0155,-0.0176,-0.0048,0.0057,0.0153
12/12/02,0.0207,0.0191,0.0328,0.0266,0.0108,0.0697
13/12/02,0.0163,0.0108,0.0259,0.0217,0.0248,0.0420
16/12/02,0.0544,0.0462,0.0524,0.0527,0.0325,0.0118
17/12/02,-0.0033,-0.0030,-0.0157,-0.0129,0.0010,-0.0225
18/12/02,0.0163,0.0123,0.0228,0.0199,0.0214,0.0134
19/12/02,-0.0079,-0.0025,0.0030,0.0050,0.0130,-0.0341
20/12/02,0.0036,-0.0042,0.0002,-0.0037,-0.0222,0.0253
23/12/02,0.0468,0.0371,0.0451,0.0371,0.0251,-0.0052
24/12/02,0.0069,0.0025,0.0077,0.0122,0.0059,0.0064
25/12/02,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26/12/02,0.0161,0.0000,0.0059,0.0092,0.0000,-0.0429
27/12/02,0.0071,0.0170,-0.0003,-0.0010,0.0089,0.0064
30/12/02,-0.0421,-0.0191,-0.0515,-0.0431,-0.0128,-0.0452
31/12/02,-0.0054,-0.0320,-0.0069,0.0001,-0.0150,-0.0023
1/1/03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2/1/03,0.0206,0.0246,0.0152,0.0140,0.0169,0.0921
3/1/03,0.0379,0.0380,0.0400,0.0415,0.0254,0.0175
6/1/03,-0.0301,-0.0229,-0.0411,-0.0336,-0.0068,-0.0796
7/1/03,-0.0323,-0.0193,-0.0466,-0.0451,-0.0305,0.0382
8/1/03,-0.0202,-0.0192,-0.0066,-0.0233,-0.0390,0.0047
9/1/03,0.0401,0.0304,0.0658,0.0459,0.0259,0.0236
10/1/03,-0.0145,-0.0124,-0.0232,-0.0161,0.0145,-0.0339
13/1/03,0.0151,0.0160,0.0293,0.0176,0.0010,0.0175
14/1/03,0.0018,0.0045,-0.0053,0.0024,0.0155,-0.0259
15/1/03,0.0209,0.0169,0.0157,0.0165,0.0059,0.0577
16/1/03,0.0110,0.0123,0.0019,-0.0008,-0.0019,0.0453
17/1/03,0.0045,0.0016,0.0050,0.0017,-0.0148,-0.0180
20/1/03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21/1/03,0.0070,0.0051,-0.0067,-0.0040,-0.0010,-0.0130
22/1/03,-0.0103,-0.0091,-0.0034,0.0041,0.0128,0.0319
23/1/03,-0.0184,-0.0127,-0.0046,-0.0043,-0.0188,-0.0332
24/1/03,0.0315,0.0218,0.0274,0.0270,0.0247,0.0074
27/1/03,-0.0302,-0.0178,-0.0211,-0.0206,0.0049,-0.0324
28/1/03,0.0117,0.0147,0.0235,0.0104,0.0019,0.0128
29/1/03,0.0290,0.0264,0.0442,0.0376,0.0230,0.0491
30/1/03,0.0065,0.0046,0.0080,0.0102,0.0132,-0.0082
31/1/03,-0.0101,-0.0034,-0.0123,-0.0100,0.0028,0.0039
3/2/03,-0.0226,-0.0236,-0.0096,-0.0157,-0.0094,0.0283
4/2/03,0.0247,0.0248,0.0448,0.0466,0.0159,-0.0007
5/2/03,0.0104,0.0114,0.0304,0.0328,0.0283,-0.0207
6/2/03,0.0068,0.0008,-0.0031,0.0328,0.0310,0.0321
7/2/03,0.0228,0.0231,0.0432,0.0430,0.0443,0.0275
10/2/03,-0.0225,-0.0262,-0.0258,-0.0613,-0.0177,-0.0396
11/2/03,0.0200,0.0169,0.0362,0.0002,-0.0225,0.0114
12/2/03,-0.0020,-0.0045,-0.0093,-0.0320,-0.0071,-0.0383
13/2/03,0.0113,0.0078,0.0081,0.0008,-0.0021,-0.0098
14/2/03,0.0051,0.0000,-0.0055,-0.0035,-0.0027,0.0168
17/2/03,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18/2/03,0.0042,-0.0030,-0.0160,-0.0010,-0.0053,0.0116
19/2/03,0.0042,-0.0004,0.0097,0.0217,0.0158,0.0342
20/2/03,-0.0261,-0.0203,-0.0342,-0.0317,-0.0105,0.0120
21/2/03,0.0239,0.0233,0.0372,0.0358,0.0079,0.0550
24/2/03,0.0250,0.0260,0.0325,0.0417,0.0343,0.1877
25/2/03,-0.0116,-0.0294,-0.0336,-0.0178,0.0059,-0.1464
26/2/03,0.0445,0.0199,0.0168,0.0412,-0.0118,0.1155
27/2/03,-0.0133,-0.0037,0.0025,-0.0054,0.0110,0.0128
28/2/03,-0.0163,-0.0077,0.0098,0.0112,0.0125,0.0791
3/3/03,-0.0198,-0.0059,-0.0088,-0.0342,-0.0243,-0.1232
4/3/03,0.0277,0.0151,0.0158,0.0121,0.0268,-0.0170
5/3/03,-0.0054,-0.0037,-0.0102,-0.0045,-0.0041,-0.0029
6/3/03,0.0084,0.0164,0.0046,0.0111,0.0099,-0.0255
7/3/03,0.0133,0.0126,0.0433,0.0285,0.0124,0.0016
10/3/03,-0.0167,-0.0108,-0.0247,-0.0413,0.0012,-0.0726
11/3/03,-0.0203,-0.0138,-0.0250,-0.0597,-0.0491,-0.0836
12/3/03,0.0141,0.0131,0.0146,-0.0057,-0.0172,-0.0087
